fecha,valor,completo_mediciones,completo_umbral
2020/06/29,1.20,100.0,100.0
2020/06/30,1.20,100.0,100.0
2020/07/01,1.10,100.0,100.0
2020/07/02,5.90,100.0,100.0
2020/07/03,1.80,100.0,100.0
2020/07/04,4.40,100.0,100.0
2020/07/05,0.40,100.0,100.0
2020/07/06,3.10,100.0,100.0
2020/07/07,0.60,100.0,100.0
2020/07/08,2.00,100.0,100.0
2020/07/09,0.50,100.0,100.0
2020/07/10,0.90,100.0,100.0
2020/07/11,4.30,100.0,100.0
2020/07/12,1.00,100.0,100.0
2020/07/13,9.60,100.0,100.0
2020/07/14,22.60,100.0,100.0
2020/07/15,25.80,100.0,100.0
2020/07/16,1.30,100.0,100.0
2020/07/17,0.20,100.0,100.0
2020/07/18,4.10,100.0,100.0
2020/07/19,6.70,100.0,100.0
2020/07/20,10.50,100.0,100.0
2020/07/21,6.50,100.0,100.0
2020/07/22,1.40,100.0,100.0
2020/07/23,0.90,100.0,100.0
2020/07/24,1.50,100.0,100.0
2020/07/25,0.20,100.0,100.0
2020/07/26,5.00,100.0,100.0
2020/07/27,4.40,100.0,100.0
2020/07/28,2.10,100.0,100.0
2020/07/29,4.80,100.0,100.0
2020/07/30,4.20,100.0,100.0
2020/07/31,6.70,100.0,100.0
2020/08/01,4.80,100.0,100.0
2020/08/02,0.00,100.0,100.0
2020/08/03,0.00,100.0,100.0
2020/08/04,0.00,100.0,100.0
2020/08/05,1.20,100.0,100.0
2020/08/06,1.50,100.0,100.0
2020/08/07,1.50,100.0,100.0
2020/08/08,0.40,100.0,100.0
2020/08/09,0.00,100.0,100.0
2020/08/10,0.00,100.0,100.0
2020/08/11,0.00,100.0,100.0
2020/08/12,0.80,100.0,100.0
2020/08/13,2.40,100.0,100.0
2020/08/14,12.20,100.0,100.0
2020/08/15,1.40,100.0,100.0
2020/08/16,0.10,100.0,100.0
2020/08/17,0.00,100.0,100.0
2020/08/18,0.30,100.0,100.0
2020/08/19,0.70,100.0,100.0
2020/08/20,5.00,100.0,100.0
2020/08/21,15.70,100.0,100.0
2020/08/22,0.00,100.0,100.0
2020/08/23,0.00,100.0,100.0
2020/08/24,0.00,100.0,100.0
2020/08/25,0.00,100.0,100.0
2020/08/26,0.00,100.0,100.0
2020/08/27,0.40,100.0,100.0
2020/08/28,4.00,100.0,100.0
2020/08/29,0.10,100.0,100.0
2020/08/30,0.00,100.0,100.0
2020/08/31,0.00,100.0,100.0
2020/09/01,10.80,100.0,100.0
2020/09/02,0.00,100.0,100.0
2020/09/03,0.40,100.0,100.0
2020/09/04,14.20,100.0,100.0
2020/09/05,12.30,100.0,100.0
2020/09/06,3.30,100.0,100.0
2020/09/07,2.10,100.0,100.0
2020/09/08,1.90,100.0,100.0
